Alien Number,Name,Planet of Origin,Earth Birthdate ,Favorite Earth Food,Favorite Earth Music Genre,Happiest Hobby/Pastime,Favorite Earth Book,Number of Eyes,Means of Ambulation,Favorite Footwear, Job Title,Salary (USD),Dream Job Title,Singing Voice,Bio
1,Violette,Amethystopia,5/1/1936,plum pudding,disco,dancing,The World Needs More Purple People by Kristen Bell and Benjamin Hart,2,"walking, jumping",none,Planetary Behaviorist,$884863,Principle Disco Dancer for the Amethystopia Ballet,mezzo-soprano,"Violette holds a doctorate degree in Planetary Behaviorism from Fouraluy University. She has been fascinated in researching the behavior of sentient beings as long as she can remember. She feels her experience in animal husbandry growing up on her family farm gave her a unique perspective in and appreciation for all life that drives and complements her current work as a behaviorist. She loves ballet, classic disco, and spending time with her 17 Earth chickens."
2,Laverne,Isronch Major,6/22/1917,s'mores,bluegrass,down-hill skiing,Becoming by Michelle Obama,2,"swimming, walking",none,Theoretical Physics Coordinator,"304,282",Pilates Instructor,alto,"Laverne holds a degree in Theoretical Physics from Quantumnus University. Having interned for the great theoretical physicist, Bob, Laverne pursued a natural aptitude in understanding relationships among dissimilar measurable quantities to become the theoretical physics coordinator at Quantumnus U."
3,Tomolor,Isronch Major,1919/6/30,baked potato,kizomba,weightlifting,Encyclopedia of Modern Bodybuilding by Arnold Schwarzenegger,2,walking,vegan sheepskin boots,Computer Systems Analyst,845535,Children’s Book Author,baritone,"As a professional Computer Systems Analyst, Tomolor has made history in adapting systems for countless organizations, increasing their overall efficiency by an average of 65%. An active member of the Beinghood of Bookery, Tomolor has authored several children’s books that explain how to flourish in their respective areas of interest so that they can most efficiently metamorphose into a career they love."
4,Celestia Dristi,Krachonk,1/21/1943,ice cream cake,reggae,landscaping,A Tale of Two Cities by Charles Dickens,1,rolling,none,Mobility Engineer,(739233),Mime,soprano,"As a Mobility Engineer, Celestia Dristi helps individuals and companies to improve personal and professional agility and growth in technology and systemsAn expert in translating and implementing needs into functionality, Celestia Dristi has a unique proclivity for solving problems and helping to avoid future issues. "
5,Two,Strogarus,1910/6/13,scallions,classical,trampolining,Rebuilding Earth: Designing Ecoconscious Habitats for Humans by Teresa Coady,2,"ice skating, walking",socks,Sustainability Strategist,178145,Professional Traveler,tenor,"With growing interest by organizations in expanding their business on multiple planets, Two finds that it is increasingly critical to focus on sustainabilityAs Two describes it, we can’t expect any business to be viable long-term if a planet and its beings aren’t well cared forCurrently stationed on Earth, Two enjoys collecting and studying lithium batteries."
6,Narf the Fourth,Krachonk,7/4/1941,calzones,classic country,gardening,The Adventures of Tom Sawyer by Mark Twain,1,"walking, jetpack","clogs, boots",Quality Assurance Specialist,876171,Hand Model,baritone,"Narf the Fourth (known to friends as ‘Norf’) oversees the manufacturing of astronomic spaceship accessories at Saucer & Rocket, Inc. Norf keeps an eye on all aspects of production quality, including managing several lower quality assurance specialists. Interests include jet-pack racing, bodybuilding, and volunteer baseball coach. Friends tell us that it’s not summer if you don't hear Norf yelling ”keep your eye on the ball!"""
7,Trisaphron,Hexapoda Minor,5/14/1904,tom ka gai,classic rock,"knitting, weaving",I Love You to the Moon and Back by Amelia Hepworth and Tim Warnes (illustrator),3,"walking, running",none,"Executive Director, Operations","$581,071",Mountain Climber,tenor,"Trisaphron earned a masters degree in practical operations from Omerania University after completing a bachelors of science in impractical mathematics. With a keen ability to watch and understand the nuances of cooperation among production robots, Trisaphron never hesitates to jump in and lend a hand or two or three to educate and improve procedures."
8,Aneirin,Zacon II,11/30/2002,asparagus,"hip hop, classic rock",knitting ,The Call of the Wild by Jack London,2,"walking, skipping",cowboy boots,Cold Climate Analyst,856479,Private Island Caretaker,alto,"Aneirin is the foremost expert of cold climates in planetoids universe-wide, with a particular inquisitiveness in areas colder than -300 F / - 184.4444444 C (hence the profound personal interest in knitting mittens). Having travelled extensively, Aneirin enjoys collecting, receiving, and sending distinctive postcards from all corners of the macrocosm.  "
9,Ichabod,Krachonk,12/16/1936,squeeze yogurt,"blues, electronica",piano,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones by James Clear,3,hoverboard,vegan sheepskin boots,Operations Supervisor,59000,Senior Free-floater,falsetto,"Operations supervisor Ichabod is unwavering in adherence to the perfection of order and functionUsing inborn impassiveness to distracting influences, Ichabod has led several teams to operational distinction with the advantage of being able to successfully teach precise hoverboard maneuverability.     "
10,Seymour,Pepinos IV,7/19/1949,dilly beans,punk rock,dancing,Greenlights by Matthew McConaughey,2,rolling,none,Inventory Control Manager,16114,Hand Model,bass,"“If it isn't counted, it doesn't count!""™ is the mantra Seymour originated and propagated in the colossal and growing industry of inventory control. Now trademarked as the slogan for Seymour's company, Totaling, it serves as reassurance of the company's mission and meaning for potential and current clients. Counting things is pretty much all Seymour does, other than recreational mountain climbing."
11,Portman,Proboscisk,10/18/1989,lemon-berry savarin,j-pop,juggling,The Velveteen Rabbit by Margery Williams and William Nicholson (illustrator),2,walking,rubber rain boots,Superterrestrial Veterinarian,155630,Superterrestrial Veterinarian Professor,baritone and falsetto,"No one loves animals, critters, varmints, and beasties as much as Dr. Portman, whether they are wild or a beloved pet. Leading a crew of superterrestrial veterinarians throughout the galaxy, Dr. Portman has discovered many antidotes for animal illnesses on a planetoid that can also be used successfully on other planetoids, and is working to expand the cross-distribution of these treatments and cures throughout the universe."
